site,day_of_month,month,year,text,species,count,areaTextMatch,visitId
Salford Quays,27,January,2013,"Count: 4, observerId: obsr647536, duration: 630, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,4,"Count: 4, observerId: obsr647536, duration: 630, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS440085939
Salford Quays,3,February,2018,"Count: 5, observerId: obsr602781, duration: 120, number of observers: 3, distance covered: 5.0, area covered: null, trip comments: Temperatura -3ºC, species comments: null",Stock Dove,5,"Count: 5, observerId: obsr602781, duration: 120, number of observers: 3, distance covered: 5.0, area covered: null, trip comments: Temperatura -3ºC, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS574794799
Fletcher Moss Park,21,March,2015,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS554777561
Fletcher Moss Park,22,March,2015,"Count: 2, observerId: obsr647536, duration: 135, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr647536, duration: 135, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS554777642
Fletcher Moss Park,14,March,2015,"Count: 4, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,4,"Count: 4, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS554777286
Fletcher Moss Park,15,May,2016,"Count: 1, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 4.828, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr508556, duration: 90, number of observers: 1, distance covered: 4.828, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS403789998
Fletcher Moss Park,12,March,2018,"Count: 2, observerId: obsr744865, duration: 70, number of observers: 1, distance covered: 0.8, area covered: null, trip comments: Fletcher Moss, Stenner Woods and Millgate Fields circuit, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr744865, duration: 70, number of observers: 1, distance covered: 0.8, area covered: null, trip comments: Fletcher Moss, Stenner Woods and Millgate Fields circuit, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS587387919
Fletcher Moss Park,28,April,2018,"Count: 1, observerId: obsr647536, duration: 150, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr647536, duration: 150, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS606603739
Turn Moss,12,April,2012,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS637245599
Turn Moss,18,July,2012,"Count: 2, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS599313142
Turn Moss,29,March,2013,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS637274087
Turn Moss,23,August,2016,"Count: 1, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS584923452
Turn Moss,8,April,2016,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS637277851
Turn Moss,17,April,2017,"Count: 2, observerId: obsr1053101, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr1053101, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS588721495
Turn Moss,9,March,2018,"Count: 1, observerId: obsr1049384, duration: 90, number of observers: 1, distance covered: 1.609, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr1049384, duration: 90, number of observers: 1, distance covered: 1.609, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS585967862
Turn Moss,15,March,2018,"Count: 2, observerId: obsr744865, duration: 75, number of observers: 1, distance covered: 1.75, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr744865, duration: 75, number of observers: 1, distance covered: 1.75, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS588128637
Turn Moss,20,February,2018,"Count: 3, observerId: obsr744865, duration: 55, number of observers: 1, distance covered: 0.5, area covered: null, trip comments: null, species comments: null",Stock Dove,3,"Count: 3, observerId: obsr744865, duration: 55, number of observers: 1, distance covered: 0.5, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS580296350
